"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","regulated"
"ENSMUSG00000003032",2347.00831759557,0.534889433005538,0.091948654250895,5.81726222491539,5.9819263572561e-09,6.63395633019702e-05,"Klf4","16600","Kruppel-like transcription factor 4 (gut)","Not_significant"
"ENSMUSG00000041378",347.541485795847,0.798148759893444,0.145245064080832,5.49518680682503,3.90297040204108e-08,0.000216419708793178,"Cldn5","12741","claudin 5","Up_in_ISA"
"ENSMUSG00000114500",357.894498741726,0.712661255726216,0.136371425229889,5.22588404810498,1.73324957136544e-07,0.000640724591548089,"Gm8983","668118","cyclin I pseudogene","Up_in_ISA"
"ENSMUSG00000037035",522.923934129297,0.862920964533506,0.166895048299398,5.17044078495059,2.33542469796124e-07,0.000647496497509752,"Inhbb","16324","inhibin beta-B","Up_in_ISA"
"ENSMUSG00000041046",142.45994034217,1.08771887242409,0.213526677251939,5.09406546490066,3.50465660781706e-07,0.000745292827862105,"Ramp3","56089","receptor (calcitonin) activity modifying protein 3","Up_in_ISA"
"ENSMUSG00000032363",1478.5032830215,0.479091758050359,0.0945433537124188,5.06742927173556,4.03224253126477e-07,0.000745292827862105,"Adamts7","108153","ADAM metallopeptidase with thrombospondin type 1 motif 7","Not_significant"
"ENSMUSG00000022579",451.903618747376,0.647905047157126,0.132044396921304,4.90672124121456,9.26115111915577e-07,0.00146723094159196,"Gpihbp1","68453","GPI-anchored HDL-binding protein 1","Up_in_ISA"
"ENSMUSG00000044147",3938.55367185092,0.408440651160237,0.0850627051689395,4.80164192226253,1.57369914567229e-06,0.00218154044068822,"Arf6","11845","ARF GTPase 6","Not_significant"
"ENSMUSG00000118642",6990.95926442172,0.750563005347576,0.170302147694625,4.40724333490753,1.04694548372204e-05,0.0129006949049749,NA,NA,NA,"Up_in_ISA"
"ENSMUSG00000030103",6655.41162628101,0.536480301058981,0.122751817758902,4.37044689727275,1.2399250677746e-05,0.0137507690016203,"Bhlhe40","20893","basic helix-loop-helix family, member e40","Not_significant"
"ENSMUSG00000074903",349.938044852749,0.607160421868623,0.139946135122015,4.33852940161053,1.43439297747039e-05,0.0144612892001333,NA,NA,NA,"Up_in_ISA"
"ENSMUSG00000057262",315.665838428106,0.902495320680235,0.213322814994845,4.23065540693358,2.33011395801259e-05,0.0215341364952997,NA,NA,NA,"Up_in_ISA"
