"gene","correlation_group","genotype","sex","method","cor","p.value","n","p.adj"
"SCG2","Females_KO","KO","Female","pearson",-0.999495504429461,0.0202228359833219,3,0.248422210012993
"NKX3-1","Females_KO","KO","Female","pearson",NA,NA,3,NA
"TMPRSS2","Females_KO","KO","Female","pearson",NA,NA,3,NA
"SYP","Females_WT","WT","Female","pearson",0.773036941039176,0.0714226585368583,6,0.840756520707444
"CHGA","Females_WT","WT","Female","pearson",0.658662870899284,0.15488178233642,6,0.840756520707444
"AMACR","Females_WT","WT","Female","pearson",0.615996645074041,0.192875570829161,6,0.840756520707444
"RB1","Females_WT","WT","Female","pearson",0.4721674291801,0.344381850892918,6,0.876466715623699
"MKI67","Females_WT","WT","Female","pearson",0.409067502259245,0.420624651674876,6,0.876466715623699
"NCAM1","Females_WT","WT","Female","pearson",0.30312674509629,0.559236407668634,6,0.876466715623699
"VIM","Females_WT","WT","Female","pearson",0.257993035548985,0.621596507322717,6,0.876466715623699
"TFRC","Females_WT","WT","Female","pearson",0.0405897309915619,0.939148839836545,6,0.946312544962362
"AR","Females_WT","WT","Female","pearson",0.0358069398251741,0.946312544962362,6,0.946312544962362
"MYC","Females_WT","WT","Female","pearson",-0.0404809137201187,0.939311797545043,6,0.946312544962362
"NKX3-1","Females_WT","WT","Female","pearson",-0.126763223253844,0.810873638834434,6,0.932504684659599
"TMPRSS2","Females_WT","WT","Female","pearson",-0.146363739986907,0.782022117241228,6,0.932504684659599
"BRCA1","Females_WT","WT","Female","pearson",-0.212581954495601,0.685930473096808,6,0.876466715623699
"TTF1","Females_WT","WT","Female","pearson",-0.216690430042433,0.680051676605742,6,0.876466715623699
"SCG2","Females_WT","WT","Female","pearson",-0.261199873180659,0.61711041971456,6,0.876466715623699
"AURKA","Females_WT","WT","Female","pearson",-0.278546746771504,0.592985862745354,6,0.876466715623699
"INSM1","Females_WT","WT","Female","pearson",-0.279931480814605,0.591070722893578,6,0.876466715623699
"ACP3","Females_WT","WT","Female","pearson",-0.37203439900598,0.467694966559393,6,0.876466715623699
"CDH1","Females_WT","WT","Female","pearson",-0.416924350719671,0.410849602133336,6,0.876466715623699
"ERG","Females_WT","WT","Female","pearson",-0.552207029474036,0.255882419345744,6,0.840756520707444
"BRCA2","Females_WT","WT","Female","pearson",-0.587131251316582,0.220501977396905,6,0.840756520707444
"CHGB","Females_WT","WT","Female","pearson",-0.58791259049163,0.21973452503148,6,0.840756520707444
"PTEN","Females_WT","WT","Female","pearson",-0.621389542011418,0.18788269391725,6,0.840756520707444
