"gene","correlation_group","genotype","sex","method","cor","p.value","n","p.adj"
"MKI67","Females_WT","WT","Female","spearman",0.516100229611079,0.294583741462461,6,0.615947823057873
"VIM","Females_WT","WT","Female","spearman",0.516100229611079,0.294583741462461,6,0.615947823057873
"CHGA","Females_WT","WT","Female","spearman",0.516100229611079,0.294583741462461,6,0.615947823057873
"NCAM1","Females_WT","WT","Female","spearman",0.516100229611079,0.294583741462461,6,0.615947823057873
"RB1","Females_WT","WT","Female","spearman",0.394664881467296,0.438739251517016,6,0.81224444587468
"AR","Females_WT","WT","Female","spearman",0.0303588370359458,0.954475734693563,6,0.954475734693563
"MYC","Females_WT","WT","Female","spearman",0.0303588370359458,0.954475734693563,6,0.954475734693563
"TTF1","Females_WT","WT","Female","spearman",-0.0910765111078374,0.863762970020258,6,0.946026110022188
"TMPRSS2","Females_WT","WT","Female","spearman",-0.107763181216065,0.838980949873286,6,0.946026110022188
"NKX3-1","Females_WT","WT","Female","spearman",-0.14368424162142,0.785956829739446,6,0.946026110022188
"TFRC","Females_WT","WT","Female","spearman",-0.212511859251621,0.686030866008896,6,0.876594995455812
"AURKA","Females_WT","WT","Female","spearman",-0.273229533323512,0.600354590429112,6,0.81224444587468
"BRCA1","Females_WT","WT","Female","spearman",-0.273229533323512,0.600354590429112,6,0.81224444587468
"INSM1","Females_WT","WT","Female","spearman",-0.273229533323512,0.600354590429112,6,0.81224444587468
"ACP3","Females_WT","WT","Female","spearman",-0.273229533323512,0.600354590429112,6,0.81224444587468
"SCG2","Females_WT","WT","Female","spearman",-0.28736848324284,0.580812812508347,6,0.81224444587468
"ERG","Females_WT","WT","Female","spearman",-0.516100229611079,0.294583741462461,6,0.615947823057873
"CDH1","Females_WT","WT","Female","spearman",-0.516100229611079,0.294583741462461,6,0.615947823057873
"CHGB","Females_WT","WT","Female","spearman",-0.612903225806452,0.195763821288308,6,0.615947823057873
"BRCA2","Females_WT","WT","Female","spearman",-0.637535577754862,0.173260315298534,6,0.615947823057873
"PTEN","Females_WT","WT","Female","spearman",-0.698253251826754,0.122839463373396,6,0.615947823057873
