"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","regulated"
"ENSMUSG00000039168",99606.554779912,4.12718516940844,0.116579065155699,35.4024555257526,1.5652069187009e-274,2.92897170696499e-270,"Dap","223453","death-associated protein","Up_in_WT_control"
"ENSMUSG00000022236",934.877466711639,4.917913240804,0.186244913895251,26.4056243896677,1.18083528139779e-153,1.10484853103984e-149,"Ropn1l","252967","ropporin 1-like","Up_in_WT_control"
"ENSMUSG00000022237",5630.53191151636,4.20878693133011,0.160657998275159,26.1971826894153,2.86126418335503e-151,1.78476122210409e-147,"Ankrd33b","67434","ankyrin repeat domain 33B","Up_in_WT_control"
"ENSMUSG00000039100",17204.8382445568,3.85970973578433,0.155818515698912,24.7705461605246,1.86253632029783e-135,8.71341054043334e-132,"Marchf6","223455","membrane associated ring-CH-type finger 6","Up_in_WT_control"
"ENSMUSG00000022312",79737.8258362995,3.69033179175158,0.152591926662383,24.1843187412962,3.25321004340495e-129,1.21754639084474e-125,"Eif3h","68135","eukaryotic translation initiation factor 3, subunit H","Up_in_WT_control"
"ENSMUSG00000117458",1959.75578057697,3.19464101301469,0.13610176632566,23.4724434462566,7.80024656986485e-122,2.43276690103135e-118,"Gm6552","625074","eukaryotic translation initiation factor 3, subunit H pseudogene","Up_in_WT_control"
"ENSMUSG00000022403",37610.408684926,3.11625068453966,0.150387083575956,20.7215314669345,2.215261520126e-95,5.92202697515969e-92,"St13","70356","suppression of tumorigenicity 13","Up_in_WT_control"
"ENSMUSG00000004631",2176.88108400414,2.43647312554032,0.122368364145617,19.9109724359879,3.26907641960431e-88,7.64677838000694e-85,"Sgce","20392","sarcoglycan, epsilon","Up_in_WT_control"
"ENSMUSG00000033060",1912.34224259912,-2.40555921606291,0.122831598241575,-19.5842051271843,2.10872275992902e-85,4.3845032229502e-82,"Lmo7","380928","LIM domain only 7","Down_in_WT_control"
"ENSMUSG00000022404",7528.48938200304,2.96746330500532,0.155042330993155,19.1396974361559,1.17953019281379e-81,2.20725484981244e-78,"Slc25a17","20524","solute carrier family 25 (mitochondrial carrier, peroxisomal membrane protein), member 17","Up_in_WT_control"
"ENSMUSG00000092035",7305.014168762,3.40249463753274,0.189706657900708,17.9355573240535,6.22365312494905e-72,1.05875655388338e-68,"Peg10","170676","paternally expressed 10","Up_in_WT_control"
"ENSMUSG00000061731",11602.9033825339,2.41436226671305,0.135506714672201,17.8172887782981,5.18912798406238e-71,8.09201266381328e-68,"Ext1","14042","exostosin glycosyltransferase 1","Up_in_WT_control"
"ENSMUSG00000028126",1702.1511141606,1.58260115344635,0.0909840748688563,17.3942654879714,9.11881814051017e-68,1.31261879894898e-64,"Pip5k1a","18720","phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha","Up_in_WT_control"
"ENSMUSG00000022313",2164.10165207377,3.32001615314575,0.192083779345155,17.2842088200483,6.18643827846914e-67,8.26905853607093e-64,"Utp23","78581","UTP23 small subunit processome component","Up_in_WT_control"
"ENSMUSG00000022314",37185.2885479934,2.68552020310043,0.15620596595958,17.1921743616076,3.03917382481849e-66,3.79147065225523e-63,"Rad21","19357","RAD21 cohesin complex component","Up_in_WT_control"
"ENSMUSG00000063632",248.309092736689,-5.81660554710067,0.349114517680885,-16.6610245421459,2.51675991716138e-62,2.94350802061506e-59,"Sox11","20666","SRY (sex determining region Y)-box 11","Down_in_WT_control"
"ENSMUSG00000039065",1572.46323238953,3.19420381580493,0.207195532510172,15.4163739782764,1.27039874609605e-53,1.39841010209973e-50,"Atpsckmt","68073","ATP synthase C subunit lysine N-methyltransferase","Up_in_WT_control"
"ENSMUSG00000052560",426.43330168645,3.10351224834991,0.201757959480331,15.3823534711772,2.14988843978009e-53,2.23504790964471e-50,"Cpne8","66871","copine VIII","Up_in_WT_control"
"ENSMUSG00000033585",346.645915519379,-7.30822270188865,0.490539709486132,-14.8983304726633,3.37917988778326e-50,3.32813648632042e-47,"Ndn","17984","necdin, MAGE family member","Down_in_WT_control"
"ENSMUSG00000035357",840.929545406016,-2.4199439548732,0.168413852253206,-14.3690315404393,8.0955373007629e-47,7.57458947545881e-44,"Pdzrn3","55983","PDZ domain containing RING finger 3","Down_in_WT_control"
"ENSMUSG00000051166",728.047471769616,-1.64688155111346,0.116253682188225,-14.166274307312,1.48154800776867e-45,1.32020037473215e-42,"Eml5","319670","echinoderm microtubule associated protein like 5","Down_in_WT_control"
"ENSMUSG00000022235",228.95161516111,2.90714352869825,0.207650115759054,14.0002018206026,1.55428725535937e-44,1.32206260952454e-41,"Cmbl","69574","carboxymethylenebutenolidase homolog","Up_in_WT_control"
"ENSMUSG00000039683",250.407354653601,-6.09603406019674,0.439760079316262,-13.8621815551672,1.07360974495972e-43,8.73498224236139e-41,"Sdk1","330222","sidekick cell adhesion molecule 1","Down_in_WT_control"
"ENSMUSG00000028989",484.908822865778,-3.70393781001005,0.267988733669147,-13.8212444952363,1.89760586189488e-43,1.47957910390162e-40,"Angptl7","654812","angiopoietin-like 7","Down_in_WT_control"
"ENSMUSG00000022464",534.276710885832,5.72339124563116,0.432589964480622,13.2305224706329,5.84794369324878e-40,4.37730281327057e-37,"Slc38a4","69354","solute carrier family 38, member 4","Up_in_WT_control"
"ENSMUSG00000015579",149.00160218436,4.45249757296959,0.34491458871096,12.9089859307192,4.00541112295417e-38,2.88281762860928e-35,"Nkx2-5","18091","NK2 homeobox 5","Up_in_WT_control"
"ENSMUSG00000022401",1144.93490179639,1.97906941225796,0.153673439169003,12.8784090663936,5.95504535214967e-38,4.12728754351025e-35,"Xpnpep3","321003","X-prolyl aminopeptidase 3, mitochondrial","Up_in_WT_control"
"ENSMUSG00000059878",666.939916446675,-2.48713035172204,0.193268998278761,-12.8687496384429,6.74857767059273e-38,4.51021906963577e-35,"Zfp422","67255","zinc finger protein 422","Down_in_WT_control"
"ENSMUSG00000020950",2499.13526278303,1.81658558361432,0.142054389582614,12.7879581120431,1.91437760467365e-37,1.23530165918131e-34,"Foxg1","15228","forkhead box G1","Up_in_WT_control"
