"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002443","leukocyte mediated immunity","176/926","429/18842",0.41025641025641,8.34778756161046,34.9993438340337,3.43829558321471e-118,2.02171780293025e-114,2.02171780293025e-114,"IGLC2/CTSG/SPI1/CD1C/IGHV3-21/IGHV2-70/INPP5D/MILR1/KLRB1/CRTAM/IGHA1/IL9R/GZMB/IGHV3-64/C1QA/IL1B/IGLL5/IL10/IGHV4-31/ITGAM/BTLA/VAV1/GATA3/RIPK3/FUT7/BTK/IGHV3-66/SLA2/IGHE/IGHV5-51/IGHV4-39/FCGR3A/IGHV3-53/IGHV3-72/CR1L/NLRP3/IGHV2-70D/IGHV3-30/RSAD2/IGHG3/PTGDR/CD300A/LGALS9/LILRB1/IGHD/C1R/TNFRSF1B/C4B/IGHV5-10-1/CD2/SLAMF7/BST2/IGHV3-73/IL2RB/CD27/IGHV4-61/IGHV4-34/PTPRC/CD1A/IGHG2/IGHV3-35/IL6/IL2RG/CD1E/HAVCR2/IGKC/FCMR/RAC2/IL12RB1/CTSC/CD226/SLAMF6/IGHV4-59/IGHG1/IGHV1-69/CD40LG/CCL3/CD70/IGHV1-18/PDCD1/CD8A/NCKAP1L/IGHV2-26/IGHV3-38/PIK3R6/KLRD1/JAK3/CORO1A/IGHV3-13/IGLC7/HLA-F/ITGB2/IGHV3-23/TLR8/IGHV1-24/IGHV1-3/CALHM6/PRF1/C1QB/CD19/SERPINB4/CSF2RB/NCR3/IGHV3-7/IGHV7-4-1/IGHV3-15/IGHV3-11/DNASE1L3/IL21/IGLC6/CD74/XCL1/BATF/IGHV3-49/TYROBP/IGHG4/SLAMF1/IGHA2/SECTM1/IGHV3-20/IGHV1-69D/CLEC7A/IGHV3-33/C4BPA/PIK3CG/CD84/NKG7/CD40/HCST/IGHV3-43/KLRC1/C3/IGHV3-74/CFI/TIGIT/NOS2/CD80/IL18/IGHV4-4/IGLC3/SCIMP/IL12A/CD7/CR2/CD1D/HLA-DRB1/IGHV3-64D/IGHV1-58/PIK3CD/HLA-A/IL21R/FCER1G/CR1/C1S/IGHV4-28/HLA-DRA/LILRB4/IL12B/IGHV3-48/IGHV1-45/ADGRE2/CD1B/C1QC/SH2D1B/FCER1A/SERPINB9/CCR6/IGHV6-1/CCR2/IGHV2-5/FCER2/IL4I1/WAS/IGHV1-69-2/TBX21/FCGR2B",176
"GO:0002449","lymphocyte mediated immunity","157/926","339/18842",0.463126843657817,9.42358098077818,35.5805347778773,5.23130081394257e-115,1.53800243929912e-111,1.53800243929912e-111,"IGLC2/CD1C/IGHV3-21/IGHV2-70/INPP5D/KLRB1/CRTAM/IGHA1/IL9R/GZMB/IGHV3-64/C1QA/IL1B/IGLL5/IL10/IGHV4-31/BTLA/VAV1/GATA3/RIPK3/FUT7/BTK/IGHV3-66/SLA2/IGHE/IGHV5-51/IGHV4-39/FCGR3A/IGHV3-53/IGHV3-72/CR1L/NLRP3/IGHV2-70D/IGHV3-30/RSAD2/IGHG3/LGALS9/LILRB1/IGHD/C1R/TNFRSF1B/C4B/IGHV5-10-1/CD2/SLAMF7/IGHV3-73/IL2RB/CD27/IGHV4-61/IGHV4-34/PTPRC/CD1A/IGHG2/IGHV3-35/IL6/IL2RG/CD1E/HAVCR2/IGKC/FCMR/IL12RB1/CTSC/CD226/SLAMF6/IGHV4-59/IGHG1/IGHV1-69/CD40LG/CD70/IGHV1-18/PDCD1/CD8A/NCKAP1L/IGHV2-26/IGHV3-38/PIK3R6/KLRD1/CORO1A/IGHV3-13/IGLC7/HLA-F/IGHV3-23/TLR8/IGHV1-24/IGHV1-3/CALHM6/PRF1/C1QB/CD19/SERPINB4/CSF2RB/NCR3/IGHV3-7/IGHV7-4-1/IGHV3-15/IGHV3-11/IL21/IGLC6/CD74/XCL1/BATF/IGHV3-49/TYROBP/IGHG4/SLAMF1/IGHA2/SECTM1/IGHV3-20/IGHV1-69D/IGHV3-33/C4BPA/NKG7/CD40/HCST/IGHV3-43/KLRC1/C3/IGHV3-74/CFI/TIGIT/CD80/IL18/IGHV4-4/IGLC3/IL12A/CD7/CR2/CD1D/HLA-DRB1/IGHV3-64D/IGHV1-58/HLA-A/IL21R/FCER1G/CR1/C1S/IGHV4-28/HLA-DRA/LILRB4/IL12B/IGHV3-48/IGHV1-45/CD1B/C1QC/SH2D1B/FCER1A/SERPINB9/CCR6/IGHV6-1/CCR2/IGHV2-5/FCER2/IL4I1/WAS/IGHV1-69-2/TBX21/FCGR2B",157
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","156/926","377/18842",0.413793103448276,8.41975124748641,33.0843270888761,5.75893606872322e-105,1.12875146946975e-101,1.12875146946975e-101,"IGLC2/CD1C/IGHV3-21/IGHV2-70/IGHA1/IL9R/CD69/IGHV3-64/C1QA/IL1B/IGLL5/IL10/IGHV4-31/LY9/BTLA/GATA3/RIPK3/FUT7/BTK/IGHV3-66/SLA2/IGHE/IGHV5-51/IGHV4-39/IL18RAP/FCGR3A/IGHV3-53/IGHV3-72/CR1L/NLRP3/IGHV2-70D/IGHV3-30/RSAD2/IGHG3/LGALS9/KLHL6/LILRB1/IGHD/C1R/CCL19/TNFRSF1B/C4B/CXCL13/IGHV5-10-1/IGHV3-73/SOCS3/IL2RB/CD27/IGHV4-61/IGHV4-34/PTPRC/CD1A/IGHG2/IRF4/IGHV3-35/IL6/IL2RG/CD1E/HAVCR2/IGKC/FCMR/PSMB9/IL12RB1/CTSC/CD226/SLAMF6/IGHV4-59/IGHG1/IGHV1-69/CD40LG/CD70/IGHV1-18/PDCD1/CD8A/NCKAP1L/IGHV2-26/IGHV3-38/PRKCQ/KLRD1/JAK3/IGHV3-13/IGLC7/HLA-F/IGHV3-23/TLR8/IGHV1-24/IGHV1-3/PRF1/C1QB/CD19/CSF2RB/IGHV3-7/IGHV7-4-1/IGHV3-15/IGHV3-11/IL21/IGLC6/CD74/XCL1/BATF/IGHV3-49/IGHG4/SLAMF1/IGHA2/SECTM1/IGHV3-20/STAT4/IGHV1-69D/CLEC7A/IGHV3-33/C4BPA/CD40/IGHV3-43/KLRC1/C3/EBI3/IGHV3-74/CFI/CD80/IL18/IGHV4-4/IGLC3/IL12A/CD7/CR2/CD1D/HLA-DRB1/IGHV3-64D/IGHV1-58/IL2/HLA-A/IL21R/FCER1G/CR1/C1S/IGHV4-28/HLA-DRA/LILRB4/IL12B/CD4/IGHV3-48/IGHV1-45/CD1B/SPN/C1QC/FCER1A/CCR6/IGHV6-1/CCR2/IGHV2-5/FCER2/IL4I1/WAS/IGHV1-69-2/TBX21/FCGR2B",156
"GO:0019724","B cell mediated immunity","96/926","177/18842",0.542372881355932,11.0360581322986,30.4980972913048,2.99928863174437e-78,4.40895428866423e-75,4.40895428866423e-75,"IGLC2/IGHV3-21/IGHV2-70/IGHA1/IL9R/IGHV3-64/C1QA/IGLL5/IL10/IGHV4-31/BTK/IGHV3-66/SLA2/IGHE/IGHV5-51/IGHV4-39/FCGR3A/IGHV3-53/IGHV3-72/CR1L/IGHV2-70D/IGHV3-30/IGHG3/IGHD/C1R/C4B/IGHV5-10-1/IGHV3-73/IL2RB/CD27/IGHV4-61/IGHV4-34/IGHG2/IGHV3-35/IL2RG/IGKC/FCMR/CD226/IGHV4-59/IGHG1/IGHV1-69/CD40LG/CD70/IGHV1-18/IGHV2-26/IGHV3-38/IGHV3-13/IGLC7/IGHV3-23/TLR8/IGHV1-24/IGHV1-3/C1QB/CD19/CSF2RB/IGHV3-7/IGHV7-4-1/IGHV3-15/IGHV3-11/IL21/IGLC6/CD74/XCL1/BATF/IGHV3-49/IGHG4/IGHA2/IGHV3-20/IGHV1-69D/IGHV3-33/C4BPA/CD40/IGHV3-43/C3/IGHV3-74/CFI/IGHV4-4/IGLC3/CR2/IGHV3-64D/IGHV1-58/IL21R/FCER1G/CR1/C1S/IGHV4-28/IGHV3-48/IGHV1-45/C1QC/FCER1A/CCR6/IGHV6-1/IGHV2-5/FCER2/IGHV1-69-2/FCGR2B",96
"GO:0016064","immunoglobulin mediated immune response","92/926","172/18842",0.534883720930233,10.8836707016927,29.6037871590673,3.12794924622716e-74,3.67846831356314e-71,3.67846831356314e-71,"IGLC2/IGHV3-21/IGHV2-70/IGHA1/IL9R/IGHV3-64/C1QA/IGLL5/IL10/IGHV4-31/BTK/IGHV3-66/IGHE/IGHV5-51/IGHV4-39/FCGR3A/IGHV3-53/IGHV3-72/CR1L/IGHV2-70D/IGHV3-30/IGHG3/IGHD/C1R/C4B/IGHV5-10-1/IGHV3-73/IL2RB/CD27/IGHV4-61/IGHV4-34/IGHG2/IGHV3-35/IL2RG/IGKC/FCMR/CD226/IGHV4-59/IGHG1/IGHV1-69/CD40LG/IGHV1-18/IGHV2-26/IGHV3-38/IGHV3-13/IGLC7/IGHV3-23/TLR8/IGHV1-24/IGHV1-3/C1QB/CD19/CSF2RB/IGHV3-7/IGHV7-4-1/IGHV3-15/IGHV3-11/IL21/IGLC6/CD74/XCL1/BATF/IGHV3-49/IGHG4/IGHA2/IGHV3-20/IGHV1-69D/IGHV3-33/C4BPA/IGHV3-43/C3/IGHV3-74/CFI/IGHV4-4/IGLC3/CR2/IGHV3-64D/IGHV1-58/IL21R/FCER1G/CR1/C1S/IGHV4-28/IGHV3-48/IGHV1-45/C1QC/FCER1A/CCR6/IGHV6-1/IGHV2-5/IGHV1-69-2/FCGR2B",92
"GO:0051249","regulation of lymphocyte activation","136/926","453/18842",0.300220750551876,6.10881142753613,25.0222787862674,4.01371399524631e-70,3.93343971534138e-67,3.93343971534138e-67,"CTSG/SPI1/RASAL3/INPP5D/CRTAM/SASH3/TMIGD2/CD86/CD69/TNFRSF4/IL1B/IL10/CARD11/BTLA/GPR65/VAV1/GATA3/RIPK3/HLA-DQB2/LAPTM5/ZNF683/BTK/SIT1/TESPA1/LAX1/FCGR3A/ZAP70/CCR7/VCAM1/PDCD1LG2/IRF1/NLRP3/IL2RA/CD5/TNFRSF13B/CLEC12A/HLA-DQA1/CD300A/LGALS9/CCL5/LILRB1/CD6/CD22/CCL19/TNFRSF1B/HLA-DRB5/CD2/HLA-DQB1/AIF1/LCK/CD27/SIRPG/PTPRC/MNDA/IRF4/IL6/IL2RG/SAMSN1/HAVCR2/RAC2/PSMB9/IL12RB1/CLECL1/HLA-DOB/CD40LG/CD70/TNFSF14/PDCD1/NCKAP1L/HLA-DMA/TNFAIP8L2/PRKCQ/PIK3R6/KLRD1/JAK3/IL15/VNN1/TNFSF8/CCL2/HLA-DPB1/VTCN1/PTPN22/IKZF3/CD19/CD3E/IL7R/CCL21/IL21/CD74/XCL1/BATF/TYROBP/SLAMF1/LST1/CLEC7A/HLA-DQA2/CTLA4/HLA-DOA/KLRC1/THEMIS2/EBI3/CD209/TIGIT/CD80/LILRB2/GPR183/IL18/IL12A/CD1D/HLA-DRB1/RUNX3/IL2/PIK3CD/HLA-A/CR1/TNFSF11/SLAMF8/HLA-DRA/PLA2G2D/TNFRSF13C/LILRB4/IL12B/CD28/CD4/HLA-DPA1/SPN/SIRPB1/ICOS/CCR2/TNFSF13B/IL4I1/FCHO1/TBX21/FCRL3/FCGR2B/PYCARD",136
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","126/926","392/18842",0.321428571428571,6.54034248688676,25.201036409819,8.58444991836332e-69,7.21093793142518e-66,7.21093793142518e-66,"SH2D1A/INPP5D/TRAT1/FPR2/IGHA1/FPR3/CD86/ITGAM/CARD11/BTLA/VAV1/GATA3/CD8B/LAPTM5/ZNF683/BTK/CD72/SLA2/IGHE/TESPA1/LAX1/FCGR3A/CD3G/ZAP70/CCR7/CD79A/S100A14/PDCD1LG2/IGHM/FYB1/TNIP3/CD247/CD5/CD3D/MS4A1/IGHG3/HCK/CD300A/KLHL6/LILRB1/CD22/IGHD/FCN1/HLA-DQB1/PRKCB/LCK/IFNG/PTPRC/MNDA/IGHG2/PIGR/LILRA1/CD79B/IGKC/BLK/FCMR/BPIFB1/CD226/IGHG1/PDCD1/CD8A/TRDC/NCKAP1L/PRKCQ/ITPRIPL1/KLRD1/IGLC7/TRAC/TLR1/CD33/TLR2/LAIR2/HLA-DPB1/VTCN1/PTPN22/CD19/MICB/CD3E/NCR3/TRBC1/CLEC2B/IGLC6/UBASH3A/TYROBP/IGHG4/IGHA2/CLEC7A/GBP1/LTF/CTLA4/CD40/LAIR1/KLRC1/C3/THEMIS2/FPR1/CYBA/NOS2/CD80/LILRB2/LILRA5/IGLC3/SCIMP/CR2/LY96/HLA-DRB1/PIK3CD/HLA-A/FCER1G/CR1/LILRB4/TRBC2/CD28/CD4/TLR6/SKAP1/CD200R1/FCER1A/ITK/LCP2/FCER2/LILRA4/FCHO1/FCRL3/FCGR2B/THEMIS",126
"GO:0007159","leukocyte cell-cell adhesion","121/926","402/18842",0.300995024875622,6.12456615411066,23.6116650250483,2.23617257744649e-62,1.64358684442317e-59,1.64358684442317e-59,"CTSG/RASAL3/SELE/CRTAM/TMIGD2/CD86/CD69/IL1B/IL10/ITGAM/CARD11/BTLA/GPR65/VAV1/GATA3/FUT7/HLA-DQB2/LAPTM5/TESPA1/LAX1/ZAP70/CCR7/ITGA4/VCAM1/PDCD1LG2/IRF1/NLRP3/IL2RA/CD5/HLA-DQA1/CD300A/LGALS9/CCL5/LILRB1/CD6/CCL19/HLA-DRB5/S100A9/SELPLG/HLA-DQB1/AIF1/LCK/CD27/SIRPG/CALCA/PTPRC/IL6/IL2RG/HAVCR2/RAC2/PSMB9/IL12RB1/CLECL1/HLA-DOB/CD40LG/CD70/TNFSF14/PDCD1/NCKAP1L/HLA-DMA/TNFAIP8L2/PRKCQ/PIK3R6/JAK3/IL15/VNN1/ITGB2/CCL2/S100A8/HLA-DPB1/VTCN1/PTPN22/CD3E/ITGB7/SELL/IL7R/CCL21/IL21/XCL1/SLAMF1/HLA-DQA2/CTLA4/HLA-DOA/EBI3/ITGAX/CD209/TIGIT/TNF/CD80/LILRB2/IL18/FERMT3/IL12A/CD1D/HLA-DRB1/RUNX3/IL2/PIK3CD/HLA-A/CR1/TNFSF11/HLA-DRA/PLA2G2D/TNFRSF13C/LILRB4/IL12B/CD28/CD4/SKAP1/HLA-DPA1/SPN/SIRPB1/ICOS/HAS2/CCR2/ICAM3/IL4I1/FCHO1/TBX21/PYCARD/ITGAL",121
"GO:0002429","immune response-activating cell surface receptor signaling pathway","110/926","336/18842",0.327380952380952,6.66145994034763,23.8055784964801,7.08826269939563e-61,4.63099829693848e-58,4.63099829693848e-58,"SH2D1A/INPP5D/TRAT1/FPR2/IGHA1/FPR3/CD86/ITGAM/CARD11/VAV1/GATA3/CD8B/LAPTM5/ZNF683/BTK/CD72/SLA2/IGHE/TESPA1/LAX1/CD3G/ZAP70/CCR7/CD79A/S100A14/PDCD1LG2/IGHM/FYB1/TNIP3/CD247/CD5/CD3D/MS4A1/IGHG3/HCK/CD300A/KLHL6/CD22/IGHD/FCN1/HLA-DQB1/PRKCB/LCK/IFNG/PTPRC/MNDA/IGHG2/CD79B/IGKC/BLK/FCMR/BPIFB1/CD226/IGHG1/PDCD1/CD8A/TRDC/NCKAP1L/ITPRIPL1/KLRD1/IGLC7/TRAC/TLR1/TLR2/HLA-DPB1/VTCN1/PTPN22/CD19/MICB/CD3E/NCR3/TRBC1/CLEC2B/IGLC6/UBASH3A/TYROBP/IGHG4/IGHA2/CLEC7A/GBP1/LTF/CTLA4/KLRC1/C3/THEMIS2/FPR1/CYBA/NOS2/CD80/IGLC3/SCIMP/CR2/LY96/HLA-DRB1/PIK3CD/HLA-A/CR1/LILRB4/TRBC2/CD28/CD4/TLR6/SKAP1/ITK/LCP2/FCER2/FCHO1/FCRL3/FCGR2B/THEMIS",110
"GO:0050863","regulation of T cell activation","111/926","346/18842",0.320809248554913,6.52774067091974,23.5930312294647,2.16937258695956e-60,1.27559108113222e-57,1.27559108113222e-57,"CTSG/RASAL3/CRTAM/TMIGD2/CD86/CD69/IL1B/IL10/CARD11/BTLA/GPR65/VAV1/GATA3/RIPK3/HLA-DQB2/LAPTM5/ZNF683/SIT1/TESPA1/LAX1/ZAP70/CCR7/VCAM1/PDCD1LG2/IRF1/NLRP3/IL2RA/CD5/HLA-DQA1/CD300A/LGALS9/CCL5/LILRB1/CD6/CCL19/TNFRSF1B/HLA-DRB5/CD2/HLA-DQB1/AIF1/LCK/CD27/SIRPG/PTPRC/IRF4/IL6/IL2RG/HAVCR2/RAC2/PSMB9/IL12RB1/CLECL1/HLA-DOB/CD40LG/CD70/TNFSF14/PDCD1/NCKAP1L/HLA-DMA/TNFAIP8L2/PRKCQ/PIK3R6/JAK3/IL15/VNN1/TNFSF8/CCL2/HLA-DPB1/VTCN1/PTPN22/CD3E/IL7R/CCL21/IL21/XCL1/BATF/SLAMF1/HLA-DQA2/CTLA4/HLA-DOA/EBI3/CD209/TIGIT/CD80/LILRB2/IL18/IL12A/CD1D/HLA-DRB1/RUNX3/IL2/PIK3CD/HLA-A/CR1/TNFSF11/HLA-DRA/PLA2G2D/TNFRSF13C/LILRB4/IL12B/CD28/CD4/HLA-DPA1/SPN/SIRPB1/ICOS/CCR2/IL4I1/FCHO1/TBX21/PYCARD",111
"GO:0070661","leukocyte proliferation","97/926","261/18842",0.371647509578544,7.56218399079798,24.2700715257394,1.64735776535941e-59,8.80587605483031e-57,8.80587605483031e-57,"RASAL3/CRTAM/SASH3/TMIGD2/CD86/TNFRSF4/IL1B/IL10/CSF1R/BTLA/VAV1/RIPK3/LAPTM5/BTK/IGHE/FCGR3A/CD79A/VCAM1/PDCD1LG2/IRF1/IL2RA/TNFRSF13B/MS4A1/CD300A/LGALS9/CCL5/LILRB1/CD6/CD22/CCL19/TNFRSF1B/BST2/AIF1/IL2RB/PTPRC/MNDA/IL6/IL2RG/HAVCR2/RAC2/IL12RB1/CLECL1/CD40LG/CD70/TNFSF14/FLT3/NCKAP1L/IL15/TNFSF8/HLA-DPB1/VTCN1/PTPN22/IKZF3/CD19/CD3E/CSF2RB/IL21/CD74/XCL1/TYROBP/SLAMF1/LST1/PIK3CG/CTLA4/CD40/CCL8/EBI3/CD209/CD80/LILRB2/GPR183/IL18/IL12A/CR2/CD1D/HLA-DRB1/IL2/HLA-A/GAPT/CR1/PLA2G2D/TNFRSF13C/LILRB4/IL12B/CD28/CD4/CSF2RA/HLA-DPA1/SPN/CCR2/ICAM3/TNFSF13B/IL4I1/CD180/FCRL3/FCGR2B/PYCARD",97
"GO:0046651","lymphocyte proliferation","90/926","227/18842",0.39647577092511,8.06738280320834,24.3543736602712,4.27102652822937e-58,2.09280299883239e-55,2.09280299883239e-55,"RASAL3/CRTAM/SASH3/TMIGD2/CD86/TNFRSF4/IL1B/IL10/BTLA/VAV1/RIPK3/LAPTM5/BTK/IGHE/FCGR3A/CD79A/VCAM1/PDCD1LG2/IRF1/IL2RA/TNFRSF13B/MS4A1/CD300A/LGALS9/CCL5/LILRB1/CD6/CD22/CCL19/TNFRSF1B/AIF1/PTPRC/MNDA/IL6/HAVCR2/RAC2/IL12RB1/CLECL1/CD40LG/CD70/TNFSF14/FLT3/NCKAP1L/IL15/TNFSF8/HLA-DPB1/VTCN1/PTPN22/IKZF3/CD19/CD3E/IL21/CD74/XCL1/TYROBP/SLAMF1/LST1/PIK3CG/CTLA4/CD40/EBI3/CD209/CD80/LILRB2/GPR183/IL18/IL12A/CR2/CD1D/HLA-DRB1/IL2/HLA-A/GAPT/CR1/PLA2G2D/TNFRSF13C/LILRB4/IL12B/CD28/CD4/HLA-DPA1/SPN/CCR2/ICAM3/TNFSF13B/IL4I1/CD180/FCRL3/FCGR2B/PYCARD",90
"GO:0032943","mononuclear cell proliferation","90/926","230/18842",0.391304347826087,7.96215607099258,24.1517214943303,1.66673655946418e-57,7.53877766896105e-55,7.53877766896105e-55,"RASAL3/CRTAM/SASH3/TMIGD2/CD86/TNFRSF4/IL1B/IL10/BTLA/VAV1/RIPK3/LAPTM5/BTK/IGHE/FCGR3A/CD79A/VCAM1/PDCD1LG2/IRF1/IL2RA/TNFRSF13B/MS4A1/CD300A/LGALS9/CCL5/LILRB1/CD6/CD22/CCL19/TNFRSF1B/AIF1/PTPRC/MNDA/IL6/HAVCR2/RAC2/IL12RB1/CLECL1/CD40LG/CD70/TNFSF14/FLT3/NCKAP1L/IL15/TNFSF8/HLA-DPB1/VTCN1/PTPN22/IKZF3/CD19/CD3E/IL21/CD74/XCL1/TYROBP/SLAMF1/LST1/PIK3CG/CTLA4/CD40/EBI3/CD209/CD80/LILRB2/GPR183/IL18/IL12A/CR2/CD1D/HLA-DRB1/IL2/HLA-A/GAPT/CR1/PLA2G2D/TNFRSF13C/LILRB4/IL12B/CD28/CD4/HLA-DPA1/SPN/CCR2/ICAM3/TNFSF13B/IL4I1/CD180/FCRL3/FCGR2B/PYCARD",90
"GO:1903037","regulation of leukocyte cell-cell adhesion","109/926","359/18842",0.303621169916435,6.17800225007069,22.5195738874243,1.51603461601625e-56,6.36734538726823e-54,6.36734538726823e-54,"CTSG/RASAL3/SELE/CRTAM/TMIGD2/CD86/CD69/IL1B/IL10/CARD11/BTLA/GPR65/VAV1/GATA3/FUT7/HLA-DQB2/LAPTM5/TESPA1/LAX1/ZAP70/CCR7/ITGA4/VCAM1/PDCD1LG2/IRF1/NLRP3/IL2RA/CD5/HLA-DQA1/CD300A/LGALS9/CCL5/LILRB1/CD6/CCL19/HLA-DRB5/HLA-DQB1/AIF1/LCK/CD27/SIRPG/PTPRC/IL6/IL2RG/HAVCR2/PSMB9/IL12RB1/CLECL1/HLA-DOB/CD40LG/CD70/TNFSF14/PDCD1/NCKAP1L/HLA-DMA/TNFAIP8L2/PRKCQ/PIK3R6/JAK3/IL15/VNN1/ITGB2/CCL2/HLA-DPB1/VTCN1/PTPN22/CD3E/IL7R/CCL21/IL21/XCL1/SLAMF1/HLA-DQA2/CTLA4/HLA-DOA/EBI3/CD209/TIGIT/TNF/CD80/LILRB2/IL18/IL12A/CD1D/HLA-DRB1/RUNX3/IL2/PIK3CD/HLA-A/CR1/TNFSF11/HLA-DRA/PLA2G2D/TNFRSF13C/LILRB4/IL12B/CD28/CD4/SKAP1/HLA-DPA1/SPN/SIRPB1/ICOS/HAS2/CCR2/IL4I1/FCHO1/TBX21/PYCARD",109
"GO:0002696","positive regulation of leukocyte activation","101/926","325/18842",0.310769230769231,6.32344907791992,22.0082957019697,1.93637910972933e-53,7.59060611013896e-51,7.59060611013896e-51,"SPI1/RASAL3/INPP5D/SASH3/TMIGD2/CD86/TNFRSF4/IL1B/IL10/CARD11/GPR65/VAV1/GATA3/HLA-DQB2/BTK/TESPA1/FCGR3A/ZAP70/CCR7/VCAM1/PDCD1LG2/NLRP3/IL2RA/CD5/HLA-DQA1/LGALS9/CCL5/CD6/CCL19/HLA-DRB5/CD2/HLA-DQB1/AIF1/LCK/CD27/SIRPG/PTPRC/CLEC4D/IL6/IL2RG/HAVCR2/IL12RB1/CD226/CLECL1/HLA-DOB/CD40LG/CCL3/CD70/TNFSF14/NCKAP1L/HLA-DMA/PRKCQ/PIK3R6/IL15/VNN1/CCL2/HLA-DPB1/CD3E/IL7R/CCL21/IL21/CD74/XCL1/TYROBP/SLAMF1/CLEC7A/HLA-DQA2/HLA-DOA/EBI3/CD209/TNF/CD80/LILRB2/GPR183/IL18/IL12A/CD1D/HLA-DRB1/RUNX3/IL2/PIK3CD/HLA-A/CR1/TNFSF11/HLA-DRA/TNFRSF13C/LILRB4/IL12B/IL16/CD28/CD4/TLR6/HLA-DPA1/SIRPB1/ICOS/CCR2/TNFSF13B/IL4I1/FCHO1/FCRL3/PYCARD",101
"GO:0050867","positive regulation of cell activation","103/926","345/18842",0.298550724637681,6.07483018749804,21.6280495107371,1.24571937558158e-52,4.57801870526232e-50,4.57801870526232e-50,"SPI1/RASAL3/INPP5D/SASH3/TMIGD2/CD86/TNFRSF4/IL1B/IL10/CARD11/GPR65/VAV1/GATA3/HLA-DQB2/BTK/TESPA1/FCGR3A/ZAP70/CCR7/VCAM1/PDCD1LG2/NLRP3/IL2RA/CD5/HLA-DQA1/LGALS9/CCL5/CD6/CCL19/HLA-DRB5/CD2/HLA-DQB1/AIF1/LCK/CD27/SIRPG/PTPRC/CLEC4D/IL6/IL2RG/HAVCR2/IL12RB1/CD226/CLECL1/HLA-DOB/CD40LG/CCL3/CD70/TNFSF14/NCKAP1L/HLA-DMA/PRKCQ/PIK3R6/IL15/VNN1/CCL2/HLA-DPB1/CD3E/IL7R/CCL21/IL21/CD74/XCL1/TYROBP/SLAMF1/CLEC7A/HLA-DQA2/HLA-DOA/EBI3/CD209/TNF/CD80/LILRB2/GPR183/IL18/LILRA5/IL12A/CD1D/HLA-DRB1/RUNX3/IL2/PIK3CD/HLA-A/CR1/TNFSF11/HLA-DRA/TNFRSF13C/LILRB4/IL12B/IL16/CD28/CD4/TLR6/HLA-DPA1/SIRPB1/ICOS/CCR2/TNFSF13B/IL4I1/FCHO1/PLEK/FCRL3/PYCARD",103
"GO:1903131","mononuclear cell differentiation","115/926","439/18842",0.261958997722096,5.33027152816385,20.8708442813203,3.29910016980984e-52,1.14110052932246e-49,1.14110052932246e-49,"SPI1/INPP5D/CRTAM/CD86/CD69/IL1B/IL10/LY9/LY6D/CSF1R/GPR65/GATA3/RIPK3/LAPTM5/ZNF683/BTK/IGHE/TESPA1/IL18RAP/CD3G/ZAP70/CCR7/ITGA4/CD79A/VCAM1/CSF3/IGHM/IRF1/NLRP3/IL2RA/CD3D/RSAD2/MS4A1/CLEC12A/CFB/BATF2/LGALS9/LILRB1/CCL19/MMP9/CD2/SOCS3/LCK/CD27/IFNG/CALCA/PTPRC/IRF4/IL6/IL2RG/CD79B/PSMB9/IL12RB1/SLAMF6/CD8A/FLT3/EOMES/NCKAP1L/PIK3R6/DOCK10/JAK3/IL15/VNN1/TNFSF8/TLR2/PTPN22/IKZF3/CD19/CD3E/TMEM176B/IL7R/IL21/HCLS1/CD74/PAX5/BATF/SLAMF1/POU2AF1/STAT4/CTLA4/KLRC1/CD80/LILRB2/GPR183/IL18/CR2/TMEM176A/CD1D/HLA-DRB1/IFI16/RUNX3/IL2/PIK3CD/CR1/SLAMF8/HLA-DRA/LILRB4/IL12B/CD28/CD4/SPN/C1QC/SPIB/ITK/LIF/CCR6/IRF8/ICOS/CCR2/TNFSF13B/IL4I1/TBX21/FCRL3/FCGR2B/THEMIS",115
"GO:0050851","antigen receptor-mediated signaling pathway","81/926","206/18842",0.393203883495146,8.00080731405565,22.9690125526069,5.6465809878256e-52,1.84454978935636e-49,1.84454978935636e-49,"SH2D1A/INPP5D/TRAT1/IGHA1/CD86/CARD11/GATA3/CD8B/LAPTM5/ZNF683/BTK/CD72/SLA2/IGHE/TESPA1/LAX1/CD3G/ZAP70/CCR7/CD79A/PDCD1LG2/IGHM/FYB1/CD247/CD5/CD3D/MS4A1/IGHG3/CD300A/KLHL6/CD22/IGHD/HLA-DQB1/PRKCB/LCK/PTPRC/MNDA/IGHG2/CD79B/IGKC/BLK/FCMR/CD226/IGHG1/PDCD1/CD8A/TRDC/NCKAP1L/ITPRIPL1/IGLC7/TRAC/HLA-DPB1/VTCN1/PTPN22/CD19/CD3E/TRBC1/CLEC2B/IGLC6/UBASH3A/IGHG4/IGHA2/GBP1/CTLA4/THEMIS2/CD80/IGLC3/HLA-DRB1/PIK3CD/HLA-A/LILRB4/TRBC2/CD28/CD4/SKAP1/ITK/LCP2/FCHO1/FCRL3/FCGR2B/THEMIS",81
