"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
1.73460740522266,1.06992826363796,23.2794632832835,5.27401335422172e-82,3.0351946853546e-77,176.077224479949,"CD247"
1.723746851044,1.04998538752682,23.025456425565,9.20383325465334e-81,2.6484030190265e-76,173.238310385724,"CD48"
1.78941351137022,2.81936976126134,22.4767687438595,4.4419031349464e-78,8.52105084720551e-74,167.226851321594,"CD3E"
1.86374731931477,1.24826502676059,22.4324080833368,7.32092184060229e-78,1.05329762981665e-73,166.629020327052,"CD3D"
1.78803406714214,3.05670381842512,22.0431175983206,5.87183245873129e-76,6.75847915999972e-72,162.376317986266,"TRAC"
1.32004161798516,9.58245652082539,21.7014776247614,2.75095599215563e-74,2.63862528914261e-70,158.19778023696,"CD74"
1.6806638206887,2.26188001531646,21.6361099156768,5.7420701880795e-74,4.7208019903425e-70,157.790140600376,"CD52"
1.81679986945263,2.63872537819189,21.525793228742,1.9876230619944e-73,1.42984634022222e-69,156.570006122463,"TRBC2"
1.48348943505984,0.418616734311669,21.5143629988893,2.26049179737369e-73,1.44545892154284e-69,156.299593283567,"IL12RB1"
1.75907572203516,2.28827321189851,21.3937614704862,8.78226406863079e-73,5.05419297149702e-69,155.07987702516,"CD2"
1.52902900476656,3.97072695767166,21.2915986648162,2.77191160939884e-72,1.45021375564458e-68,153.965346596949,"CORO1A"
1.49812428257675,1.49876716162073,21.2065067974303,7.21858031511864e-72,3.46191080945898e-68,152.947283658218,"PRF1"
1.59695587049741,1.10351008587374,21.194033178964,8.30573019630952e-72,3.67688286767395e-68,152.781332268359,"CST7"
1.8411061331202,1.88444141283632,21.178424359626,9.89953130112454e-72,4.06235225758749e-68,152.653841323251,"TRBC1"
1.64504095155328,1.81781165908513,21.1724439299338,1.05882335123914e-71,4.06235225758749e-68,152.584301633891,"CD6"
1.52965478870282,1.61091182464757,21.0144635046651,6.25516137084863e-71,2.24990335557712e-67,150.80919480235,"PTPN7"
1.70163466119407,0.931295060233764,20.97524608729,9.72034134488687e-71,3.2261191957221e-67,150.327344171997,"GZMA"
1.18194986369857,2.36459504750425,20.9719219332785,1.00903814983489e-70,3.2261191957221e-67,150.367949202919,"WAS"
1.37103789640317,2.93723568850183,20.9219661721813,1.76902689081367e-70,5.35828934559615e-67,149.823415814762,"SELPLG"
1.4415566316013,3.4354632591042,20.8523557918669,3.86747010941473e-70,1.11286452398409e-66,149.049802038263,"RAC2"
1.36822287307715,3.62426794377834,20.6946832107236,2.27275706226837e-69,6.22843661588308e-66,147.286816647545,"LSP1"
1.66750310383026,3.69396713493344,20.6878855890103,2.45302419323546e-69,6.41688828730459e-66,147.210618495529,"CCL5"
1.74567744151126,0.00145765199237157,20.6548827402319,3.55327689923394e-69,8.8909167630832e-66,146.683012692439,"SLAMF1"
1.22794375351154,3.02325540724702,20.554690699745,1.09409200082768e-68,2.62354144365136e-65,145.721140370418,"GPSM3"
1.86607698186394,-0.31812485713081,20.5251435556852,1.52424520156616e-68,3.5088124540053e-65,145.210935972578,"SIT1"
1.8078720938707,0.0232300500235978,20.5073795829138,1.86046188332952e-68,4.11806082252361e-65,145.044174361838,"LY9"
2.06612141245365,0.0593499716481187,20.4702622517133,2.82147872745677e-68,6.01392965796804e-65,144.633856114533,"P2RY10"
1.41637836554948,1.66910804547432,20.4402061346116,3.95280479838209e-68,7.97582514184931e-65,144.406992983191,"BIN2"
1.56437810776566,1.12590786922167,20.4387234450365,4.01909520614474e-68,7.97582514184931e-65,144.361664470991,"NKG7"
1.54284699624521,0.463833469628966,20.424132440082,4.73375613416312e-68,9.08092218403625e-65,144.154599715547,"PCED1B-AS1"
1.20673741394554,4.11462316748348,20.3930152635451,6.71077074409942e-68,1.24582211717071e-64,143.910243558599,"HCLS1"
1.55685567610234,2.73640820481398,20.2965486258454,1.97928117475504e-67,3.55961348772352e-64,142.837188203185,"ITGAL"
1.79410691053492,1.72599514017854,20.1741489677622,7.80202468307373e-67,1.36062581972998e-63,141.445733536994,"SLAMF7"
1.372744094693,1.39275536188128,20.1676372444434,8.39244729506659e-67,1.42054512303259e-63,141.359602774886,"DOK2"
1.69239279855647,0.80669250109538,20.1438817867844,1.09510656453201e-66,1.80066807968049e-63,141.061952084657,"SNX20"
1.25024411116593,4.8808055803449,20.1070772903806,1.6537814594307e-66,2.64375341639546e-63,140.695964900134,"LAPTM5"
1.75025694411702,1.46567499402086,20.0874035564437,2.06138639234189e-66,3.20629153727772e-63,140.469704213783,"CD96"
2.16162062969656,0.741538104338951,20.0006310555941,5.44562447021888e-66,8.24725495423938e-63,139.465124055763,"CCR7"
1.62820855949842,1.9375909227118,19.9780266453095,7.0132168729908e-66,1.03489905395031e-62,139.271903809891,"CYTIP"
1.3668641613577,0.749294758167862,19.9025504382906,1.63181120083766e-65,2.34776836520519e-62,138.378994988978,"EVI2A"
1.6385128617713,1.47003175121307,19.8714799807402,2.30993759028458e-65,3.24236361758238e-62,138.070503607559,"CD5"
1.87772986628801,-0.330500314174892,19.8032603721416,4.95326024166136e-65,6.78714587875265e-62,137.20020578015,"SIRPG"
1.32481992668672,3.66560823443855,19.7911851787882,5.66913654569551e-65,7.58741414429713e-62,137.207536728718,"CD53"
1.72359026918,0.0129463179798658,19.7702056867579,7.16742582383358e-65,9.37466718549142e-62,136.861079403962,"CXCR3"
1.39898275662457,3.24173808947092,19.7313663104791,1.10630868705272e-64,1.40550128707074e-61,136.546188042869,"IL10RA"
1.15824462997569,4.32487912888619,19.7299924457958,1.12342413910086e-64,1.40550128707074e-61,136.511767693757,"TNFRSF1B"
1.49216957400885,0.497361296353796,19.7185378826386,1.27682393822939e-64,1.56343016266173e-61,136.322403316485,"GPR132"
1.47172879925105,2.05353104485573,19.6825971273639,1.90774225805207e-64,2.28730347814367e-61,135.992789345551,"EVI2B"
1.28262855574489,7.11607923152799,19.6320680288346,3.35447137392312e-64,3.93979239937297e-61,135.260648869068,"HLA-DRB1"
1.84970814827681,0.429713484723532,19.6147312128018,4.07100862082674e-64,4.68573092257158e-61,135.16736760975,"CD3G"
