"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","regulated"
"ENSMUSG00000024027",863.547530732796,-6.72052567960902,0.293533071652482,-22.8952929963734,5.17598014392228e-116,9.47359645742095e-112,"Glp1r","14652","glucagon-like peptide 1 receptor","Down_in_KO_control"
"ENSMUSG00000039100",15691.8736379811,-3.39741401498854,0.181885270702522,-18.6788847819629,7.35395254423425e-78,6.72996967085597e-74,"Marchf6","223455","membrane associated ring-CH-type finger 6","Down_in_KO_control"
"ENSMUSG00000039065",1290.23312958026,-2.76372026826756,0.149000598616074,-18.5483836570936,8.40413812655746e-77,5.1273646710127e-73,"Atpsckmt","68073","ATP synthase C subunit lysine N-methyltransferase","Down_in_KO_control"
"ENSMUSG00000039168",75231.1295849714,-3.22173824366696,0.177105275357594,-18.191091356042,6.07190114029523e-74,2.77835016427059e-70,"Dap","223453","death-associated protein","Down_in_KO_control"
"ENSMUSG00000022234",52967.1679707327,-3.12190275173935,0.174193248245882,-17.9220651958487,7.9327741278481e-72,2.90387129724008e-68,"Cct5","12465","chaperonin containing TCP1 subunit 5","Down_in_KO_control"
"ENSMUSG00000039209",486.290895460938,-5.45860132890054,0.353013739525227,-15.4628580072886,6.17948172409987e-54,1.88505089993667e-50,"Rpl39l","68172","ribosomal protein L39-like","Down_in_KO_control"
"ENSMUSG00000022055",442.22950608373,-3.4869254002467,0.255181012898795,-13.6645174366073,1.6539657715166e-42,4.32464793086692e-39,"Nefl","18039","neurofilament, light polypeptide","Down_in_KO_control"
"ENSMUSG00000062184",176.337978834243,-5.4031590509561,0.398813917132494,-13.5480704630502,8.13402568299962e-42,1.86096340094928e-38,"Hs6st2","50786","heparan sulfate 6-O-sulfotransferase 2","Down_in_KO_control"
"ENSMUSG00000022403",25723.1848400459,-2.61281134936926,0.19983930321899,-13.0745619469362,4.60207382729756e-39,9.35908414011413e-36,"St13","70356","suppression of tumorigenicity 13","Down_in_KO_control"
"ENSMUSG00000022237",2392.35708001076,-2.84048447957375,0.217577221093535,-13.0550636932377,5.94602838447274e-39,1.08830157521005e-35,"Ankrd33b","67434","ankyrin repeat domain 33B","Down_in_KO_control"
"ENSMUSG00000023945",954.43530027,-5.20576692256038,0.412088778875145,-12.6326344938832,1.39527329887406e-36,2.32160792629926e-33,"Slc5a7","63993","solute carrier family 5 (choline transporter), member 7","Down_in_KO_control"
"ENSMUSG00000022054",431.614842237307,-3.31466145281307,0.283576297641521,-11.6887817507345,1.45458076864606e-31,2.2185993173774e-28,"Nefm","18040","neurofilament, medium polypeptide","Down_in_KO_control"
"ENSMUSG00000022404",5431.12989939085,-2.31771343913946,0.199069015778175,-11.6427633405397,2.49789112339043e-31,3.5168385562627e-28,"Slc25a17","20524","solute carrier family 25 (mitochondrial carrier, peroxisomal membrane protein), member 17","Down_in_KO_control"
